split,image_member,json_member,object_index,folder_target_class,object_major,object_detail,object_class,is_target_object,is_known_training_class,source_geometry,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio
Training,Training/images/고철류/고철/12_X058_C803_0218/12_X058_C803_0218_2.jpg,Training/labels/고철류/고철/12_X058_C803_0218/12_X058_C803_0218_2.json,0,고철류/고철,고철류,고철,고철류/고철,True,True,BOX,709.0,250.0,1225.0,857.0,516.0,607.0,0.15075069235811833,0.8500823723228995
Training,Training/images/고철류/골프채/12_X011_C976_0319/12_X011_C976_0319_0.jpg,Training/labels/고철류/골프채/12_X011_C976_0319/12_X011_C976_0319_0.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,736.0,577.0,857.0,1705.0,121.0,1128.0,0.04934062120423391,0.10726950354609929
Training,Training/images/고철류/골프채/12_X011_C979_0319/12_X011_C979_0319_3.jpg,Training/labels/고철류/골프채/12_X011_C979_0319/12_X011_C979_0319_3.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,804.0,38.0,1138.0,981.0,334.0,943.0,0.1518123276842694,0.35418875927889715
Training,Training/images/고철류/골프채/12_X014_C500_0319/12_X014_C500_0319_4.jpg,Training/labels/고철류/골프채/12_X014_C500_0319/12_X014_C500_0319_4.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,70.0,467.0,1252.0,735.0,1182.0,268.0,0.11451500954364047,4.41044776119403
Training,Training/images/고철류/골프채/12_X024_C979_0318/12_X024_C979_0318_0.jpg,Training/labels/고철류/골프채/12_X024_C979_0318/12_X024_C979_0318_0.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,824.0,166.0,1072.0,761.0,248.0,595.0,0.07112422156669944,0.41680672268907565
Training,Training/images/고철류/골프채/12_X027_C509_0328/12_X027_C509_0328_0.jpg,Training/labels/고철류/골프채/12_X027_C509_0328/12_X027_C509_0328_0.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,166.0,742.0,1470.0,859.0,1304.0,117.0,0.05515356585111921,11.145299145299145
Training,Training/images/고철류/골프채/12_X029_C973_0319/12_X029_C973_0319_3.jpg,Training/labels/고철류/골프채/12_X029_C973_0319/12_X029_C973_0319_3.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,202.0,518.0,1432.0,1486.0,1230.0,968.0,0.4304181849731043,1.2706611570247934
Training,Training/images/고철류/골프채/12_X095_C973_0318/12_X095_C973_0318_3.jpg,Training/labels/고철류/골프채/12_X095_C973_0318/12_X095_C973_0318_3.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,239.0,110.0,1685.0,1361.0,1446.0,1251.0,0.6539367516918272,1.1558752997601918
Training,Training/images/고철류/골프채/12_X105_C500_0319/12_X105_C500_0319_4.jpg,Training/labels/고철류/골프채/12_X105_C500_0319/12_X105_C500_0319_4.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,41.0,542.0,1274.0,948.0,1233.0,406.0,0.18096694429984383,3.0369458128078817
Training,Training/images/고철류/골프채/12_X169_C500_0319/12_X169_C500_0319_0.jpg,Training/labels/고철류/골프채/12_X169_C500_0319/12_X169_C500_0319_0.json,0,고철류/골프채,고철류,골프채,고철류/골프채,True,True,BOX,555.0,305.0,669.0,952.0,114.0,647.0,0.026663630053791427,0.17619783616692428
Training,Training/images/고철류/기타/12_X001_C055_0131/12_X001_C055_0131_1.jpg,Training/labels/고철류/기타/12_X001_C055_0131/12_X001_C055_0131_1.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,516.0,360.0,1208.0,853.0,692.0,493.0,0.1642002962917328,1.4036511156186613
Training,Training/images/고철류/기타/12_X005_C323_0201/12_X005_C323_0201_3.jpg,Training/labels/고철류/기타/12_X005_C323_0201/12_X005_C323_0201_3.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,577.0,197.0,1392.0,814.0,815.0,617.0,0.24202693193664862,1.320907617504052
Training,Training/images/고철류/기타/12_X006_C055_0131/12_X006_C055_0131_3.jpg,Training/labels/고철류/기타/12_X006_C055_0131/12_X006_C055_0131_3.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,510.0,52.0,1106.0,843.0,596.0,791.0,0.22690479101229158,0.7534766118836915
Training,Training/images/고철류/기타/12_X008_C058_0201/12_X008_C058_0201_2.jpg,Training/labels/고철류/기타/12_X008_C058_0201/12_X008_C058_0201_2.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,713.0,383.0,1323.0,991.0,610.0,608.0,0.1340736884724391,1.0032894736842106
Training,Training/images/고철류/기타/12_X010_C055_0129/12_X010_C055_0129_4.jpg,Training/labels/고철류/기타/12_X010_C055_0129/12_X010_C055_0129_4.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,636.0,47.0,1600.0,642.0,964.0,595.0,0.2760672711223373,1.6201680672268908
Training,Training/images/고철류/기타/12_X012_C058_0201/12_X012_C058_0201_0.jpg,Training/labels/고철류/기타/12_X012_C058_0201/12_X012_C058_0201_0.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,967.0,171.0,1363.0,1232.0,396.0,1061.0,0.1518870380010411,0.37323279924599434
Training,Training/images/고철류/기타/12_X014_C058_0201/12_X014_C058_0201_4.jpg,Training/labels/고철류/기타/12_X014_C058_0201/12_X014_C058_0201_4.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,1033.0,438.0,1279.0,676.0,246.0,238.0,0.02116519174041298,1.0336134453781514
Training,Training/images/고철류/기타/12_X019_C171_0129/12_X019_C171_0129_3.jpg,Training/labels/고철류/기타/12_X019_C171_0129/12_X019_C171_0129_3.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,325.0,268.0,1547.0,1173.0,1222.0,905.0,0.39978816010179885,1.3502762430939226
Training,Training/images/고철류/기타/12_X022_C171_0129/12_X022_C171_0129_1.jpg,Training/labels/고철류/기타/12_X022_C171_0129/12_X022_C171_0129_1.json,0,고철류/기타,고철류,기타,고철류/기타,True,True,BOX,255.0,261.0,1609.0,1121.0,1354.0,860.0,0.420946844814622,1.5744186046511628
Training,Training/images/고철류/비철금속/12_X001_C022_0928/12_X001_C022_0928_0.jpg,Training/labels/고철류/비철금속/12_X001_C022_0928/12_X001_C022_0928_0.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,391.0,385.0,1591.0,1342.0,1200.0,957.0,0.4153645833333333,1.2539184952978057
Training,Training/images/고철류/비철금속/12_X001_C162_1111/12_X001_C162_1111_2.jpg,Training/labels/고철류/비철금속/12_X001_C162_1111/12_X001_C162_1111_2.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,824.0,361.0,1260.0,1178.0,436.0,817.0,0.12883825231481483,0.5336597307221542
Training,Training/images/고철류/비철금속/12_X001_C205_1005/12_X001_C205_1005_1.jpg,Training/labels/고철류/비철금속/12_X001_C205_1005/12_X001_C205_1005_1.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,653.0,176.0,1320.0,800.0,667.0,624.0,0.2007175925925926,1.0689102564102564
Training,Training/images/고철류/비철금속/12_X004_C026_0924/12_X004_C026_0924_0.jpg,Training/labels/고철류/비철금속/12_X004_C026_0924/12_X004_C026_0924_0.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,478.0,470.0,1503.0,1078.0,1025.0,608.0,0.2254050925925926,1.6858552631578947
Training,Training/images/고철류/비철금속/12_X006_C189_1112/12_X006_C189_1112_1.jpg,Training/labels/고철류/비철금속/12_X006_C189_1112/12_X006_C189_1112_1.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,425.0,490.0,1202.0,984.0,777.0,494.0,0.10412272135416667,1.5728744939271255
Training,Training/images/고철류/비철금속/12_X008_C709_1215/12_X008_C709_1215_0.jpg,Training/labels/고철류/비철금속/12_X008_C709_1215/12_X008_C709_1215_0.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,132.0,474.0,1824.0,834.0,1692.0,360.0,0.2203125,4.7
Training,Training/images/고철류/비철금속/12_X010_C324_1123/12_X010_C324_1123_3.jpg,Training/labels/고철류/비철금속/12_X010_C324_1123/12_X010_C324_1123_3.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,388.0,603.0,1861.0,776.0,1473.0,173.0,0.09216905381944444,8.514450867052023
Training,Training/images/고철류/비철금속/12_X011_C187_1112/12_X011_C187_1112_2.jpg,Training/labels/고철류/비철금속/12_X011_C187_1112/12_X011_C187_1112_2.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,553.0,131.0,1743.0,1287.0,1190.0,1156.0,0.49755497685185185,1.0294117647058822
Training,Training/images/고철류/비철금속/12_X024_C053_1111/12_X024_C053_1111_0.jpg,Training/labels/고철류/비철금속/12_X024_C053_1111/12_X024_C053_1111_0.json,0,고철류/비철금속,고철류,비철금속,고철류/비철금속,True,True,BOX,408.0,175.0,1526.0,933.0,1118.0,758.0,0.40868248456790124,1.474934036939314
Training,Training/images/고철류/전기프라이팬/12_X001_C058_0202/12_X001_C058_0202_2.jpg,Training/labels/고철류/전기프라이팬/12_X001_C058_0202/12_X001_C058_0202_2.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,435.0,168.0,1601.0,715.0,1166.0,547.0,0.23056640060153855,2.1316270566727606
Training,Training/images/고철류/전기프라이팬/12_X001_C058_0202/12_X001_C058_0202_2.jpg,Training/labels/고철류/전기프라이팬/12_X001_C058_0202/12_X001_C058_0202_2.json,1,고철류/전기프라이팬,나무,액자,나무/액자,False,True,BOX,873.0,949.0,1134.0,1155.0,261.0,206.0,0.01943649141072358,1.266990291262136
Training,Training/images/고철류/전기프라이팬/12_X001_C163_0108/12_X001_C163_0108_4.jpg,Training/labels/고철류/전기프라이팬/12_X001_C163_0108/12_X001_C163_0108_4.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,130.0,328.0,1664.0,872.0,1534.0,544.0,0.3016715830875123,2.8198529411764706
Training,Training/images/고철류/전기프라이팬/12_X001_C171_1007/12_X001_C171_1007_3.jpg,Training/labels/고철류/전기프라이팬/12_X001_C171_1007/12_X001_C171_1007_3.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,475.0,203.0,1288.0,1014.0,813.0,811.0,0.23847764756944445,1.002466091245376
Training,Training/images/고철류/전기프라이팬/12_X005_C187_1023/12_X005_C187_1023_1.jpg,Training/labels/고철류/전기프라이팬/12_X005_C187_1023/12_X005_C187_1023_1.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,115.0,307.0,1828.0,963.0,1713.0,656.0,0.4064409722222222,2.611280487804878
Training,Training/images/고철류/전기프라이팬/12_X009_C024_1112/12_X009_C024_1112_0.jpg,Training/labels/고철류/전기프라이팬/12_X009_C024_1112/12_X009_C024_1112_0.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,144.0,197.0,1825.0,898.0,1681.0,701.0,0.4262084056712963,2.398002853067047
Training,Training/images/고철류/전기프라이팬/12_X009_C193_1116/12_X009_C193_1116_0.jpg,Training/labels/고철류/전기프라이팬/12_X009_C193_1116/12_X009_C193_1116_0.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,387.0,272.0,1662.0,1041.0,1275.0,769.0,0.3546278211805556,1.6579973992197659
Training,Training/images/고철류/전기프라이팬/12_X012_C188_1127/12_X012_C188_1127_2.jpg,Training/labels/고철류/전기프라이팬/12_X012_C188_1127/12_X012_C188_1127_2.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,512.0,186.0,1437.0,1242.0,925.0,1056.0,0.3532986111111111,0.8759469696969697
Training,Training/images/고철류/전기프라이팬/12_X012_C331_1117/12_X012_C331_1117_1.jpg,Training/labels/고철류/전기프라이팬/12_X012_C331_1117/12_X012_C331_1117_1.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,278.0,491.0,1726.0,941.0,1448.0,450.0,0.2355543987506507,3.2177777777777776
Training,Training/images/고철류/전기프라이팬/12_X062_C709_1216/12_X062_C709_1216_2.jpg,Training/labels/고철류/전기프라이팬/12_X062_C709_1216/12_X062_C709_1216_2.json,0,고철류/전기프라이팬,고철류,전기프라이팬,고철류/전기프라이팬,True,True,BOX,296.0,437.0,1347.0,1243.0,1051.0,806.0,0.3063896122685185,1.303970223325062
Training,Training/images/고철류/주전자/12_X001_C331_1210/12_X001_C331_1210_4.jpg,Training/labels/고철류/주전자/12_X001_C331_1210/12_X001_C331_1210_4.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,143.0,348.0,813.0,879.0,670.0,531.0,0.12867838541666668,1.2617702448210923
Training,Training/images/고철류/주전자/12_X001_C331_1210/12_X001_C331_1210_4.jpg,Training/labels/고철류/주전자/12_X001_C331_1210/12_X001_C331_1210_4.json,1,고철류/주전자,고철류,고철,고철류/고철,False,True,BOX,995.0,629.0,1645.0,1168.0,650.0,539.0,0.12671802662037038,1.2059369202226344
Training,Training/images/고철류/주전자/12_X001_C333_1110/12_X001_C333_1110_2.jpg,Training/labels/고철류/주전자/12_X001_C333_1110/12_X001_C333_1110_2.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,570.0,109.0,1461.0,804.0,891.0,695.0,0.25114980289093297,1.2820143884892086
Training,Training/images/고철류/주전자/12_X002_C194_1023/12_X002_C194_1023_0.jpg,Training/labels/고철류/주전자/12_X002_C194_1023/12_X002_C194_1023_0.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,655.0,105.0,1178.0,777.0,523.0,672.0,0.16949074074074075,0.7782738095238095
Training,Training/images/고철류/주전자/12_X005_C189_1123/12_X005_C189_1123_0.jpg,Training/labels/고철류/주전자/12_X005_C189_1123/12_X005_C189_1123_0.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,917.0,161.0,1201.0,781.0,284.0,620.0,0.047764756944444445,0.45806451612903226
Training,Training/images/고철류/주전자/12_X006_C331_1118/12_X006_C331_1118_4.jpg,Training/labels/고철류/주전자/12_X006_C331_1118/12_X006_C331_1118_4.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,310.0,261.0,1371.0,1109.0,1061.0,848.0,0.3254224537037037,1.2511792452830188
Training,Training/images/고철류/주전자/12_X008_C058_1105/12_X008_C058_1105_1.jpg,Training/labels/고철류/주전자/12_X008_C058_1105/12_X008_C058_1105_1.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,682.0,240.0,1432.0,1203.0,750.0,963.0,0.26123046875,0.778816199376947
Training,Training/images/고철류/주전자/12_X009_C172_1127/12_X009_C172_1127_3.jpg,Training/labels/고철류/주전자/12_X009_C172_1127/12_X009_C172_1127_3.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,777.0,532.0,1248.0,977.0,471.0,445.0,0.07580837673611111,1.0584269662921348
Training,Training/images/고철류/주전자/12_X011_C178_1127/12_X011_C178_1127_4.jpg,Training/labels/고철류/주전자/12_X011_C178_1127/12_X011_C178_1127_4.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,594.0,217.0,1350.0,1094.0,756.0,877.0,0.23967985424258198,0.8620296465222349
Training,Training/images/고철류/주전자/12_X021_C172_0107/12_X021_C172_0107_2.jpg,Training/labels/고철류/주전자/12_X021_C172_0107/12_X021_C172_0107_2.json,0,고철류/주전자,고철류,주전자,고철류/주전자,True,True,BOX,685.0,312.0,1381.0,907.0,696.0,595.0,0.1497829861111111,1.169747899159664
Training,Training/images/고철류/철옷걸이/12_X001_C211_1208/12_X001_C211_1208_3.jpg,Training/labels/고철류/철옷걸이/12_X001_C211_1208/12_X001_C211_1208_3.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,807.0,153.0,1088.0,477.0,281.0,324.0,0.0329296875,0.8672839506172839
Training,Training/images/고철류/철옷걸이/12_X001_C211_1208/12_X001_C211_1208_3.jpg,Training/labels/고철류/철옷걸이/12_X001_C211_1208/12_X001_C211_1208_3.json,1,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,690.0,661.0,1164.0,1267.0,474.0,606.0,0.10389322916666667,0.7821782178217822
Training,Training/images/고철류/철옷걸이/12_X003_C163_1202/12_X003_C163_1202_2.jpg,Training/labels/고철류/철옷걸이/12_X003_C163_1202/12_X003_C163_1202_2.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,1023.0,641.0,1742.0,975.0,719.0,334.0,0.08685836226851852,2.1526946107784433
Training,Training/images/고철류/철옷걸이/12_X003_C163_1202/12_X003_C163_1202_2.jpg,Training/labels/고철류/철옷걸이/12_X003_C163_1202/12_X003_C163_1202_2.json,1,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,113.0,660.0,926.0,1023.0,813.0,363.0,0.10674153645833333,2.239669421487603
Training,Training/images/고철류/철옷걸이/12_X006_C163_1207/12_X006_C163_1207_0.jpg,Training/labels/고철류/철옷걸이/12_X006_C163_1207/12_X006_C163_1207_0.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,276.0,349.0,637.0,1135.0,361.0,786.0,0.10262803819444444,0.4592875318066158
Training,Training/images/고철류/철옷걸이/12_X006_C163_1207/12_X006_C163_1207_0.jpg,Training/labels/고철류/철옷걸이/12_X006_C163_1207/12_X006_C163_1207_0.json,1,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,1068.0,393.0,1341.0,1044.0,273.0,651.0,0.06428059895833334,0.41935483870967744
Training,Training/images/고철류/철옷걸이/12_X006_C169_1123/12_X006_C169_1123_4.jpg,Training/labels/고철류/철옷걸이/12_X006_C169_1123/12_X006_C169_1123_4.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,550.0,95.0,1221.0,809.0,671.0,714.0,0.2307106661318183,0.9397759103641457
Training,Training/images/고철류/철옷걸이/12_X008_C052_1022/12_X008_C052_1022_2.jpg,Training/labels/고철류/철옷걸이/12_X008_C052_1022/12_X008_C052_1022_2.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,208.0,470.0,1909.0,1128.0,1701.0,658.0,0.40482421875,2.5851063829787235
Training,Training/images/고철류/철옷걸이/12_X008_C169_1120/12_X008_C169_1120_1.jpg,Training/labels/고철류/철옷걸이/12_X008_C169_1120/12_X008_C169_1120_1.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,390.0,241.0,1681.0,868.0,1291.0,627.0,0.29277235243055555,2.059011164274322
Training,Training/images/고철류/철옷걸이/12_X025_C193_1123/12_X025_C193_1123_1.jpg,Training/labels/고철류/철옷걸이/12_X025_C193_1123/12_X025_C193_1123_1.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,533.0,228.0,1718.0,1088.0,1185.0,860.0,0.3685980902777778,1.377906976744186
Training,Training/images/고철류/철옷걸이/12_X062_C509_0409/12_X062_C509_0409_3.jpg,Training/labels/고철류/철옷걸이/12_X062_C509_0409/12_X062_C509_0409_3.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,POLYGON->BOX,442.0,426.0,1478.0,1115.0,1036.0,689.0,0.258041240094858,1.5036284470246735
Training,Training/images/고철류/철옷걸이/12_X087_C058_0129/12_X087_C058_0129_0.jpg,Training/labels/고철류/철옷걸이/12_X087_C058_0129/12_X087_C058_0129_0.json,0,고철류/철옷걸이,고철류,철옷걸이,고철류/철옷걸이,True,True,BOX,461.0,305.0,1721.0,788.0,1260.0,483.0,0.22000260281103592,2.608695652173913
Training,Training/images/고철류/프라이팬/12_X001_C169_1102/12_X001_C169_1102_1.jpg,Training/labels/고철류/프라이팬/12_X001_C169_1102/12_X001_C169_1102_1.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,591.0,102.0,1297.0,1188.0,706.0,1086.0,0.27731336805555556,0.6500920810313076
Training,Training/images/고철류/프라이팬/12_X001_C190_1113/12_X001_C190_1113_3.jpg,Training/labels/고철류/프라이팬/12_X001_C190_1113/12_X001_C190_1113_3.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,285.0,352.0,1414.0,921.0,1129.0,569.0,0.23234989872685186,1.984182776801406
Training,Training/images/고철류/프라이팬/12_X002_C331_1127/12_X002_C331_1127_3.jpg,Training/labels/고철류/프라이팬/12_X002_C331_1127/12_X002_C331_1127_3.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,264.0,551.0,1675.0,1174.0,1411.0,623.0,0.3179445167824074,2.264847512038523
Training,Training/images/고철류/프라이팬/12_X005_C015_1119/12_X005_C015_1119_4.jpg,Training/labels/고철류/프라이팬/12_X005_C015_1119/12_X005_C015_1119_4.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,415.0,130.0,1284.0,930.0,869.0,800.0,0.33526234567901236,1.08625
Training,Training/images/고철류/프라이팬/12_X008_C331_1103/12_X008_C331_1103_1.jpg,Training/labels/고철류/프라이팬/12_X008_C331_1103/12_X008_C331_1103_1.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,103.0,472.0,1529.0,990.0,1426.0,518.0,0.2671686921296296,2.752895752895753
Training,Training/images/고철류/프라이팬/12_X013_C172_0127/12_X013_C172_0127_3.jpg,Training/labels/고철류/프라이팬/12_X013_C172_0127/12_X013_C172_0127_3.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,506.0,415.0,862.0,1025.0,356.0,610.0,0.0785036728555729,0.5836065573770491
Training,Training/images/고철류/프라이팬/12_X019_C058_1127/12_X019_C058_1127_0.jpg,Training/labels/고철류/프라이팬/12_X019_C058_1127/12_X019_C058_1127_0.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,BOX,151.0,224.0,1767.0,885.0,1616.0,661.0,0.38634837962962965,2.4447806354009076
Training,Training/images/고철류/프라이팬/12_X043_C520_0414/12_X043_C520_0414_1.jpg,Training/labels/고철류/프라이팬/12_X043_C520_0414/12_X043_C520_0414_1.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,POLYGON->BOX,462.0,147.0,1371.0,729.0,909.0,582.0,0.25513020833333333,1.5618556701030928
Training,Training/images/고철류/프라이팬/12_X049_C520_0414/12_X049_C520_0414_4.jpg,Training/labels/고철류/프라이팬/12_X049_C520_0414/12_X049_C520_0414_4.json,0,고철류/프라이팬,고철류,프라이팬,고철류/프라이팬,True,True,POLYGON->BOX,434.0,146.0,1517.0,1095.0,1083.0,949.0,0.3715393458268263,1.1412012644889358
Training,Training/images/나무/기타/13_X001_C187_1215/13_X001_C187_1215_2.jpg,Training/labels/나무/기타/13_X001_C187_1215/13_X001_C187_1215_2.json,0,나무/기타,나무,기타,나무/기타,True,True,BOX,656.0,278.0,1241.0,933.0,585.0,655.0,0.13859049479166666,0.8931297709923665
Training,Training/images/나무/기타/13_X001_C806_0925/13_X001_C806_0925_2.jpg,Training/labels/나무/기타/13_X001_C806_0925/13_X001_C806_0925_2.json,0,나무/기타,나무,기타,나무/기타,True,True,BOX,842.0,718.0,1122.0,1762.0,280.0,1044.0,0.10567412805830297,0.2681992337164751
Training,Training/images/나무/기타/13_X002_C323_1214/13_X002_C323_1214_2.jpg,Training/labels/나무/기타/13_X002_C323_1214/13_X002_C323_1214_2.json,0,나무/기타,나무,기타,나무/기타,True,True,BOX,568.0,496.0,1196.0,932.0,628.0,436.0,0.13204475308641975,1.4403669724770642
