split,image_member,json_member,image_name,folder_major,folder_detail,folder_target_class,width,height,meta_width,meta_height,resolution_match,place,day_night,bounding_count_declared,bounding_count_json,valid_object_count,target_is_annotated,unknown_object_count,sha1,keep_for_processed,exclude_reason
Training,Training/images/고철류/골프채/12_X011_C979_0319/12_X011_C979_0319_3.jpg,Training/labels/고철류/골프채/12_X011_C979_0319/12_X011_C979_0319_3.json,12_X011_C979_0319_3.jpg,고철류,골프채,고철류/골프채,1921,1080,1921,1080,True,실외,주간,1,1,1,True,0,3fbf3a7b1d65f5ca0f0776497b4ba73c4f0d2f50,True,
Training,Training/images/고철류/골프채/12_X014_C500_0319/12_X014_C500_0319_4.jpg,Training/labels/고철류/골프채/12_X014_C500_0319/12_X014_C500_0319_4.json,12_X014_C500_0319_4.jpg,고철류,골프채,고철류/골프채,1440,1921,1440,1921,True,실외,주간,1,1,1,True,0,418f0b51b2c4123eafeb87f61915b646fe5d19f8,True,
Training,Training/images/고철류/골프채/12_X024_C979_0318/12_X024_C979_0318_0.jpg,Training/labels/고철류/골프채/12_X024_C979_0318/12_X024_C979_0318_0.json,12_X024_C979_0318_0.jpg,고철류,골프채,고철류/골프채,1921,1080,1921,1080,True,실외,주간,1,1,1,True,0,0cb2815e3764a68791bf1a3f96bbda06372136f4,True,
Training,Training/images/고철류/골프채/12_X027_C509_0328/12_X027_C509_0328_0.jpg,Training/labels/고철류/골프채/12_X027_C509_0328/12_X027_C509_0328_0.json,12_X027_C509_0328_0.jpg,고철류,골프채,고철류/골프채,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,23d1a41f01ba8b0f0cd304d7caee4db2f1942cb3,True,
Training,Training/images/고철류/골프채/12_X029_C973_0319/12_X029_C973_0319_3.jpg,Training/labels/고철류/골프채/12_X029_C973_0319/12_X029_C973_0319_3.json,12_X029_C973_0319_3.jpg,고철류,골프채,고철류/골프채,1440,1921,1440,1921,True,실외,주간,1,1,1,True,0,da27f0ec8e195639b19d7ffe26bc599483f0c25f,True,
Training,Training/images/고철류/골프채/12_X095_C973_0318/12_X095_C973_0318_3.jpg,Training/labels/고철류/골프채/12_X095_C973_0318/12_X095_C973_0318_3.json,12_X095_C973_0318_3.jpg,고철류,골프채,고철류/골프채,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,7f4bc9ae4fb7492524b5f149df097b73ef44c382,True,
Training,Training/images/고철류/골프채/12_X105_C500_0319/12_X105_C500_0319_4.jpg,Training/labels/고철류/골프채/12_X105_C500_0319/12_X105_C500_0319_4.json,12_X105_C500_0319_4.jpg,고철류,골프채,고철류/골프채,1440,1921,1440,1921,True,실외,주간,1,1,1,True,0,e71cd0d96be99bbd863d8c98793bec86dd70e4d1,True,
Training,Training/images/고철류/골프채/12_X169_C500_0319/12_X169_C500_0319_0.jpg,Training/labels/고철류/골프채/12_X169_C500_0319/12_X169_C500_0319_0.json,12_X169_C500_0319_0.jpg,고철류,골프채,고철류/골프채,1440,1921,1440,1921,True,실외,주간,1,1,1,True,0,82a675eb9547983eca9136639e5ba04732859003,True,
Training,Training/images/고철류/기타/12_X001_C055_0131/12_X001_C055_0131_1.jpg,Training/labels/고철류/기타/12_X001_C055_0131/12_X001_C055_0131_1.json,12_X001_C055_0131_1.jpg,고철류,기타,고철류/기타,1922,1081,1922,1081,True,실외,주간,1,1,1,True,0,c65fafb43a7689e40b544dfbc3009e8e41002eb9,True,
Training,Training/images/고철류/기타/12_X005_C323_0201/12_X005_C323_0201_3.jpg,Training/labels/고철류/기타/12_X005_C323_0201/12_X005_C323_0201_3.json,12_X005_C323_0201_3.jpg,고철류,기타,고철류/기타,1922,1081,1922,1081,True,실외,주간,1,1,1,True,0,5b67a89a8156853d9f8fc05e53d95a01523ad148,True,
Training,Training/images/고철류/기타/12_X006_C055_0131/12_X006_C055_0131_3.jpg,Training/labels/고철류/기타/12_X006_C055_0131/12_X006_C055_0131_3.json,12_X006_C055_0131_3.jpg,고철류,기타,고철류/기타,1922,1081,1922,1081,True,실외,주간,1,1,1,True,0,abd1b9e55f985a8af30f5dc352477dd9cda87c8d,True,
Training,Training/images/고철류/기타/12_X008_C058_0201/12_X008_C058_0201_2.jpg,Training/labels/고철류/기타/12_X008_C058_0201/12_X008_C058_0201_2.json,12_X008_C058_0201_2.jpg,고철류,기타,고철류/기타,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,e7683b4c9e1ba8d48423482c92ab2942259e95f1,True,
Training,Training/images/고철류/기타/12_X010_C055_0129/12_X010_C055_0129_4.jpg,Training/labels/고철류/기타/12_X010_C055_0129/12_X010_C055_0129_4.json,12_X010_C055_0129_4.jpg,고철류,기타,고철류/기타,1922,1081,1922,1081,True,실외,주간,1,1,1,True,0,bde3cab03fda13b3dee18b1b7e377df622bb958f,True,
Training,Training/images/고철류/기타/12_X012_C058_0201/12_X012_C058_0201_0.jpg,Training/labels/고철류/기타/12_X012_C058_0201/12_X012_C058_0201_0.json,12_X012_C058_0201_0.jpg,고철류,기타,고철류/기타,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,f9f3bc870f4adadef93ebce81590bf42b35f5cae,True,
Training,Training/images/고철류/기타/12_X014_C058_0201/12_X014_C058_0201_4.jpg,Training/labels/고철류/기타/12_X014_C058_0201/12_X014_C058_0201_4.json,12_X014_C058_0201_4.jpg,고철류,기타,고철류/기타,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,080364b17ea75fd3fcdf7ee8322fff4b65c6bf2a,True,
Training,Training/images/고철류/기타/12_X019_C171_0129/12_X019_C171_0129_3.jpg,Training/labels/고철류/기타/12_X019_C171_0129/12_X019_C171_0129_3.json,12_X019_C171_0129_3.jpg,고철류,기타,고철류/기타,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,cd9ac86634f6758d27966be5ba4a0900263f1be2,True,
Training,Training/images/고철류/기타/12_X022_C171_0129/12_X022_C171_0129_1.jpg,Training/labels/고철류/기타/12_X022_C171_0129/12_X022_C171_0129_1.json,12_X022_C171_0129_1.jpg,고철류,기타,고철류/기타,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,2f14cc1b1b3de079af1b0c1d76d839733afcd5e6,True,
Training,Training/images/고철류/비철금속/12_X001_C022_0928/12_X001_C022_0928_0.jpg,Training/labels/고철류/비철금속/12_X001_C022_0928/12_X001_C022_0928_0.json,12_X001_C022_0928_0.jpg,고철류,비철금속,고철류/비철금속,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,9784ac0559af486aef0219c0d09d2577dc90236a,True,
Training,Training/images/고철류/비철금속/12_X001_C162_1111/12_X001_C162_1111_2.jpg,Training/labels/고철류/비철금속/12_X001_C162_1111/12_X001_C162_1111_2.json,12_X001_C162_1111_2.jpg,고철류,비철금속,고철류/비철금속,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,c06bf53218335b7767614b217d74565c6eac68b9,True,
Training,Training/images/고철류/비철금속/12_X001_C205_1005/12_X001_C205_1005_1.jpg,Training/labels/고철류/비철금속/12_X001_C205_1005/12_X001_C205_1005_1.json,12_X001_C205_1005_1.jpg,고철류,비철금속,고철류/비철금속,1920,1080,1920,1080,True,실외,주간,1,1,1,True,0,82c58d68f86b7ffae030d0355967483a0744ae3b,True,
Training,Training/images/고철류/비철금속/12_X004_C026_0924/12_X004_C026_0924_0.jpg,Training/labels/고철류/비철금속/12_X004_C026_0924/12_X004_C026_0924_0.json,12_X004_C026_0924_0.jpg,고철류,비철금속,고철류/비철금속,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,dbcbfb9c0d2f977b2a2858679276e1c3765e8745,True,
Training,Training/images/고철류/비철금속/12_X006_C189_1112/12_X006_C189_1112_1.jpg,Training/labels/고철류/비철금속/12_X006_C189_1112/12_X006_C189_1112_1.json,12_X006_C189_1112_1.jpg,고철류,비철금속,고철류/비철금속,1920,1920,1920,1920,True,실외,주간,1,1,1,True,0,3c6848e4f3aff8a78178bacd00544c5e0fb6bdf2,True,
Training,Training/images/고철류/비철금속/12_X008_C709_1215/12_X008_C709_1215_0.jpg,Training/labels/고철류/비철금속/12_X008_C709_1215/12_X008_C709_1215_0.json,12_X008_C709_1215_0.jpg,고철류,비철금속,고철류/비철금속,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,857e1a543215d24fc9dfa8fb902488f99f338173,True,
Training,Training/images/고철류/비철금속/12_X010_C324_1123/12_X010_C324_1123_3.jpg,Training/labels/고철류/비철금속/12_X010_C324_1123/12_X010_C324_1123_3.json,12_X010_C324_1123_3.jpg,고철류,비철금속,고철류/비철금속,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,40dc98cdeee519699587e4aa1e2ba662fe82ed09,True,
Training,Training/images/고철류/비철금속/12_X011_C187_1112/12_X011_C187_1112_2.jpg,Training/labels/고철류/비철금속/12_X011_C187_1112/12_X011_C187_1112_2.json,12_X011_C187_1112_2.jpg,고철류,비철금속,고철류/비철금속,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,f178ee67e0ff92c89ae1df0b5d6bab4794ddaf09,True,
Training,Training/images/고철류/비철금속/12_X024_C053_1111/12_X024_C053_1111_0.jpg,Training/labels/고철류/비철금속/12_X024_C053_1111/12_X024_C053_1111_0.json,12_X024_C053_1111_0.jpg,고철류,비철금속,고철류/비철금속,1920,1080,1920,1080,True,실외,주간,1,1,1,True,0,8cd9b62c2e37abe9ff0799d0dc723a7c0494144a,True,
Training,Training/images/고철류/전기프라이팬/12_X001_C058_0202/12_X001_C058_0202_2.jpg,Training/labels/고철류/전기프라이팬/12_X001_C058_0202/12_X001_C058_0202_2.json,12_X001_C058_0202_2.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1921,1440,1921,1440,True,실내,주간,2,2,2,True,0,946f96c4ce8a7313fa3648d966da9004d1b80329,True,
Training,Training/images/고철류/전기프라이팬/12_X001_C163_0108/12_X001_C163_0108_4.jpg,Training/labels/고철류/전기프라이팬/12_X001_C163_0108/12_X001_C163_0108_4.json,12_X001_C163_0108_4.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,1dd8417447ccf47b61a635ab65be9ca58d517b8f,True,
Training,Training/images/고철류/전기프라이팬/12_X001_C171_1007/12_X001_C171_1007_3.jpg,Training/labels/고철류/전기프라이팬/12_X001_C171_1007/12_X001_C171_1007_3.json,12_X001_C171_1007_3.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,7fc5bf947ef4f42efe1961ce3163ae8d6aec3c63,True,
Training,Training/images/고철류/전기프라이팬/12_X005_C187_1023/12_X005_C187_1023_1.jpg,Training/labels/고철류/전기프라이팬/12_X005_C187_1023/12_X005_C187_1023_1.json,12_X005_C187_1023_1.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,d0e1d0fa1bfce679241f007d91c60ebe79f088d7,True,
Training,Training/images/고철류/전기프라이팬/12_X009_C024_1112/12_X009_C024_1112_0.jpg,Training/labels/고철류/전기프라이팬/12_X009_C024_1112/12_X009_C024_1112_0.json,12_X009_C024_1112_0.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,c336f371281617129e45fe5bcd7f89740d7629b3,True,
Training,Training/images/고철류/전기프라이팬/12_X009_C193_1116/12_X009_C193_1116_0.jpg,Training/labels/고철류/전기프라이팬/12_X009_C193_1116/12_X009_C193_1116_0.json,12_X009_C193_1116_0.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,f03830a81f22bca5abba408f5b0cf0bf79cc0e62,True,
Training,Training/images/고철류/전기프라이팬/12_X012_C188_1127/12_X012_C188_1127_2.jpg,Training/labels/고철류/전기프라이팬/12_X012_C188_1127/12_X012_C188_1127_2.json,12_X012_C188_1127_2.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,51e89bd4d059d92a1fadf06d94fd3687612f952f,True,
Training,Training/images/고철류/전기프라이팬/12_X012_C331_1117/12_X012_C331_1117_1.jpg,Training/labels/고철류/전기프라이팬/12_X012_C331_1117/12_X012_C331_1117_1.json,12_X012_C331_1117_1.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,56e30e239396397c1ea88685abc30c6a1a1c9e22,True,
Training,Training/images/고철류/전기프라이팬/12_X062_C709_1216/12_X062_C709_1216_2.jpg,Training/labels/고철류/전기프라이팬/12_X062_C709_1216/12_X062_C709_1216_2.json,12_X062_C709_1216_2.jpg,고철류,전기프라이팬,고철류/전기프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,624a8ed301fef8bff75fc2e789c6f4488b6cdb50,True,
Training,Training/images/고철류/주전자/12_X001_C331_1210/12_X001_C331_1210_4.jpg,Training/labels/고철류/주전자/12_X001_C331_1210/12_X001_C331_1210_4.json,12_X001_C331_1210_4.jpg,고철류,주전자,고철류/주전자,1920,1440,1920,1440,True,실외,주간,2,2,2,True,0,c92207f5c04045ae635aa9c6ca05bd1ca1558618,True,
Training,Training/images/고철류/주전자/12_X001_C333_1110/12_X001_C333_1110_2.jpg,Training/labels/고철류/주전자/12_X001_C333_1110/12_X001_C333_1110_2.json,12_X001_C333_1110_2.jpg,고철류,주전자,고철류/주전자,2283,1080,2283,1080,True,실외,주간,1,1,1,True,0,fd466b6de593b6b0ecf6821e53285e55956fab90,True,
Training,Training/images/고철류/주전자/12_X002_C194_1023/12_X002_C194_1023_0.jpg,Training/labels/고철류/주전자/12_X002_C194_1023/12_X002_C194_1023_0.json,12_X002_C194_1023_0.jpg,고철류,주전자,고철류/주전자,1920,1080,1920,1080,True,실외,주간,1,1,1,True,0,6c3b0544993560e19bbc4fcd9bbfa65f761a11e0,True,
Training,Training/images/고철류/주전자/12_X005_C189_1123/12_X005_C189_1123_0.jpg,Training/labels/고철류/주전자/12_X005_C189_1123/12_X005_C189_1123_0.json,12_X005_C189_1123_0.jpg,고철류,주전자,고철류/주전자,1920,1920,1920,1920,True,실외,주간,1,1,1,True,0,9b3a8eafd2b29c9fa9a5c580da56c0ad7212258e,True,
Training,Training/images/고철류/주전자/12_X006_C331_1118/12_X006_C331_1118_4.jpg,Training/labels/고철류/주전자/12_X006_C331_1118/12_X006_C331_1118_4.json,12_X006_C331_1118_4.jpg,고철류,주전자,고철류/주전자,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,9428679cca5da35cef7e4991ca1915a315cde6fa,True,
Training,Training/images/고철류/주전자/12_X008_C058_1105/12_X008_C058_1105_1.jpg,Training/labels/고철류/주전자/12_X008_C058_1105/12_X008_C058_1105_1.json,12_X008_C058_1105_1.jpg,고철류,주전자,고철류/주전자,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,f6c6f680edfe0caf8bf1848673b494c46a142ce4,True,
Training,Training/images/고철류/주전자/12_X009_C172_1127/12_X009_C172_1127_3.jpg,Training/labels/고철류/주전자/12_X009_C172_1127/12_X009_C172_1127_3.json,12_X009_C172_1127_3.jpg,고철류,주전자,고철류/주전자,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,b90b28edfae95cba2bb102a0bad22359ac9d90b7,True,
Training,Training/images/고철류/주전자/12_X011_C178_1127/12_X011_C178_1127_4.jpg,Training/labels/고철류/주전자/12_X011_C178_1127/12_X011_C178_1127_4.json,12_X011_C178_1127_4.jpg,고철류,주전자,고철류/주전자,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,71295fb5918876a9d20dff7223601dfc500080e7,True,
Training,Training/images/고철류/주전자/12_X021_C172_0107/12_X021_C172_0107_2.jpg,Training/labels/고철류/주전자/12_X021_C172_0107/12_X021_C172_0107_2.json,12_X021_C172_0107_2.jpg,고철류,주전자,고철류/주전자,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,3bf83221f8d1339e7205ae537e9129ddecb8f263,True,
Training,Training/images/고철류/철옷걸이/12_X001_C211_1208/12_X001_C211_1208_3.jpg,Training/labels/고철류/철옷걸이/12_X001_C211_1208/12_X001_C211_1208_3.json,12_X001_C211_1208_3.jpg,고철류,철옷걸이,고철류/철옷걸이,1920,1440,1920,1440,True,실외,주간,2,2,2,True,0,4163fde005b42d276c434dd1667f20bcefdebbe0,True,
Training,Training/images/고철류/철옷걸이/12_X003_C163_1202/12_X003_C163_1202_2.jpg,Training/labels/고철류/철옷걸이/12_X003_C163_1202/12_X003_C163_1202_2.json,12_X003_C163_1202_2.jpg,고철류,철옷걸이,고철류/철옷걸이,1920,1440,1920,1440,True,실외,주간,2,2,2,True,0,89b887d32b543cc208237e5018eaeacfc2b98873,True,
Training,Training/images/고철류/철옷걸이/12_X006_C163_1207/12_X006_C163_1207_0.jpg,Training/labels/고철류/철옷걸이/12_X006_C163_1207/12_X006_C163_1207_0.json,12_X006_C163_1207_0.jpg,고철류,철옷걸이,고철류/철옷걸이,1920,1440,1920,1440,True,실외,주간,2,2,2,True,0,50438f85fc3cdf42539edea07195065116afba08,True,
Training,Training/images/고철류/철옷걸이/12_X006_C169_1123/12_X006_C169_1123_4.jpg,Training/labels/고철류/철옷걸이/12_X006_C169_1123/12_X006_C169_1123_4.json,12_X006_C169_1123_4.jpg,고철류,철옷걸이,고철류/철옷걸이,1921,1081,1921,1081,True,실외,주간,1,1,1,True,0,0358b0641784e78945a755ed0283414cfb58af07,True,
Training,Training/images/고철류/철옷걸이/12_X008_C052_1022/12_X008_C052_1022_2.jpg,Training/labels/고철류/철옷걸이/12_X008_C052_1022/12_X008_C052_1022_2.json,12_X008_C052_1022_2.jpg,고철류,철옷걸이,고철류/철옷걸이,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,5e727e8aa09ff6e7067ea1c897ca3fba9f3959ba,True,
Training,Training/images/고철류/철옷걸이/12_X008_C169_1120/12_X008_C169_1120_1.jpg,Training/labels/고철류/철옷걸이/12_X008_C169_1120/12_X008_C169_1120_1.json,12_X008_C169_1120_1.jpg,고철류,철옷걸이,고철류/철옷걸이,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,e020b1f4efbd2c09f56bd111a6e0a835693f04c0,True,
Training,Training/images/고철류/철옷걸이/12_X025_C193_1123/12_X025_C193_1123_1.jpg,Training/labels/고철류/철옷걸이/12_X025_C193_1123/12_X025_C193_1123_1.json,12_X025_C193_1123_1.jpg,고철류,철옷걸이,고철류/철옷걸이,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,81908c88a05b982dff906fb4213d11e81e9333f9,True,
Training,Training/images/고철류/철옷걸이/12_X062_C509_0409/12_X062_C509_0409_3.jpg,Training/labels/고철류/철옷걸이/12_X062_C509_0409/12_X062_C509_0409_3.json,12_X062_C509_0409_3.jpg,고철류,철옷걸이,고철류/철옷걸이,1921,1440,1921,1440,True,실내,주간,1,1,1,True,0,6dde6b0f0fd9ab8b6eba201b259da7ecfb0855a6,True,
Training,Training/images/고철류/철옷걸이/12_X087_C058_0129/12_X087_C058_0129_0.jpg,Training/labels/고철류/철옷걸이/12_X087_C058_0129/12_X087_C058_0129_0.json,12_X087_C058_0129_0.jpg,고철류,철옷걸이,고철류/철옷걸이,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,a3cfbb303ba8006b5aab486b4bd02232c86336a1,True,
Training,Training/images/고철류/프라이팬/12_X001_C169_1102/12_X001_C169_1102_1.jpg,Training/labels/고철류/프라이팬/12_X001_C169_1102/12_X001_C169_1102_1.json,12_X001_C169_1102_1.jpg,고철류,프라이팬,고철류/프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,42bcc732c4bf4117045b016d873dc2c8712a80e3,True,
Training,Training/images/고철류/프라이팬/12_X001_C190_1113/12_X001_C190_1113_3.jpg,Training/labels/고철류/프라이팬/12_X001_C190_1113/12_X001_C190_1113_3.json,12_X001_C190_1113_3.jpg,고철류,프라이팬,고철류/프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,08fa08bf1d586a12392033bfdd3a870f21c86c75,True,
Training,Training/images/고철류/프라이팬/12_X002_C331_1127/12_X002_C331_1127_3.jpg,Training/labels/고철류/프라이팬/12_X002_C331_1127/12_X002_C331_1127_3.json,12_X002_C331_1127_3.jpg,고철류,프라이팬,고철류/프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,61ba4846832ae4c9dcf2169c4bfd61ddfbec7a27,True,
Training,Training/images/고철류/프라이팬/12_X005_C015_1119/12_X005_C015_1119_4.jpg,Training/labels/고철류/프라이팬/12_X005_C015_1119/12_X005_C015_1119_4.json,12_X005_C015_1119_4.jpg,고철류,프라이팬,고철류/프라이팬,1920,1080,1920,1080,True,실외,주간,1,1,1,True,0,39746f7bb88b85bbb98e1a253995f946c0cabe3b,True,
Training,Training/images/고철류/프라이팬/12_X008_C331_1103/12_X008_C331_1103_1.jpg,Training/labels/고철류/프라이팬/12_X008_C331_1103/12_X008_C331_1103_1.json,12_X008_C331_1103_1.jpg,고철류,프라이팬,고철류/프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,f5de209f03b3401471b8d8aab409a4edb159c57d,True,
Training,Training/images/고철류/프라이팬/12_X013_C172_0127/12_X013_C172_0127_3.jpg,Training/labels/고철류/프라이팬/12_X013_C172_0127/12_X013_C172_0127_3.json,12_X013_C172_0127_3.jpg,고철류,프라이팬,고철류/프라이팬,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,dfea525c6e642d271d82bc6554b5a8cfe8530258,True,
Training,Training/images/고철류/프라이팬/12_X019_C058_1127/12_X019_C058_1127_0.jpg,Training/labels/고철류/프라이팬/12_X019_C058_1127/12_X019_C058_1127_0.json,12_X019_C058_1127_0.jpg,고철류,프라이팬,고철류/프라이팬,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,0af19507d6978ea03274ca5f3417701e67fdf64a,True,
Training,Training/images/고철류/프라이팬/12_X043_C520_0414/12_X043_C520_0414_1.jpg,Training/labels/고철류/프라이팬/12_X043_C520_0414/12_X043_C520_0414_1.json,12_X043_C520_0414_1.jpg,고철류,프라이팬,고철류/프라이팬,1920,1080,1920,1080,True,실외,주간,1,1,1,True,0,cc66c5ca0a3567b0d311ae34d0b8b190e79d4208,True,
Training,Training/images/고철류/프라이팬/12_X049_C520_0414/12_X049_C520_0414_4.jpg,Training/labels/고철류/프라이팬/12_X049_C520_0414/12_X049_C520_0414_4.json,12_X049_C520_0414_4.jpg,고철류,프라이팬,고철류/프라이팬,1921,1440,1921,1440,True,실외,주간,1,1,1,True,0,2d88b437e3d19a90289c6e65df0b984367fcca4b,True,
Training,Training/images/나무/기타/13_X001_C187_1215/13_X001_C187_1215_2.jpg,Training/labels/나무/기타/13_X001_C187_1215/13_X001_C187_1215_2.json,13_X001_C187_1215_2.jpg,나무,기타,나무/기타,1920,1440,1920,1440,True,실외,주간,1,1,1,True,0,2d96d1f5d3269b6ec969fa9226ceab1757ef96c6,True,
Training,Training/images/나무/기타/13_X001_C806_0925/13_X001_C806_0925_2.jpg,Training/labels/나무/기타/13_X001_C806_0925/13_X001_C806_0925_2.json,13_X001_C806_0925_2.jpg,나무,기타,나무/기타,1440,1921,1440,1921,True,실외,주간,1,1,1,True,0,8bdc72a926a445445a7ef0bec6ae2380dd9d1bbe,True,
Training,Training/images/나무/기타/13_X002_C323_1214/13_X002_C323_1214_2.jpg,Training/labels/나무/기타/13_X002_C323_1214/13_X002_C323_1214_2.json,13_X002_C323_1214_2.jpg,나무,기타,나무/기타,1920,1080,1920,1080,True,실외,주간,2,2,2,True,0,8dc2803e71bf9cdb323f7fdc81ae471ab6567d7b,True,
